item_id,name,price,quantity,datetime
595,scroll of drastic healing,750,1,2020-06-28 08:17:48.194814
1622,astral mushroom,2399,1,2020-06-28 08:17:48.603206
824,effervescent potion,500,5,2020-06-28 08:18:00.596316
9537,pocket wish,49900,3,2020-06-28 08:18:01.015130
346,scrumptious reagent,875,1,2020-06-28 08:18:02.839505
8686,perfect ice cube,100,1,2020-06-28 08:18:06.949243
1959,tattered scrap of paper,3420,1,2020-06-28 08:18:08.773478
3511,scratch 'n' sniff UPC sticker,1000,1,2020-06-28 08:18:10.565620
9187,cashew,2500,5,2020-06-28 08:18:11.197657
8640,Ghost Dog Chow,500,1,2020-06-28 08:18:11.570361
3575,sand dollar,200,1,2020-06-28 08:18:13.776280
595,scroll of drastic healing,850,3,2020-06-28 08:19:10.770700
9537,pocket wish,49900,3,2020-06-28 08:19:23.518208
346,scrumptious reagent,900,1,2020-06-28 08:19:25.295580
1959,tattered scrap of paper,4200,1,2020-06-28 08:19:31.059442
8640,Ghost Dog Chow,750,1,2020-06-28 08:19:33.611498
9537,pocket wish,49900,3,2020-06-28 08:19:57.913595
8763,BACON,222,340,2020-06-28 08:33:07.869843
706,porquoise,22222,3,2020-06-28 08:33:30.382913
6834,box of Dweebs,666,142,2020-06-28 08:35:35.282299
4465,chocolate saucepan,4300,7,2020-06-28 08:42:27.133421
9924,Special Seasoning,666,5,2020-06-28 10:29:18.346219
9537,pocket wish,49000,2,2020-06-28 10:29:25.505669
8763,BACON,100,1,2020-06-28 10:29:28.709118
443,beer lens,5000,17,2020-06-28 10:29:35.795072
9537,pocket wish,49000,272,2020-06-28 10:31:08.820142
9537,pocket wish,49900,3,2020-06-28 10:31:57.183907
9537,pocket wish,49900,3,2020-06-28 10:32:47.913619
9537,pocket wish,49900,3,2020-06-28 10:33:36.992254
9537,pocket wish,49900,3,2020-06-28 10:34:23.517270
9537,pocket wish,49900,3,2020-06-28 10:35:07.291732
9537,pocket wish,49900,3,2020-06-28 10:35:43.936836
9924,Special Seasoning,666,21,2020-06-28 10:44:36.792084
621,Warm Subject gift certificate,444,7,2020-06-28 11:08:26.568956
9537,pocket wish,49900,3,2020-06-28 11:11:46.271783
8066,powdered gold,8200,5,2020-06-28 11:24:00.230444
9537,pocket wish,49000,3,2020-06-28 12:00:01.863699
8763,BACON,195,100,2020-06-28 12:07:22.295180
9537,pocket wish,49899,10,2020-06-28 12:36:12.242158
8763,BACON,120,100,2020-06-28 13:14:12.287640
8763,BACON,220,113,2020-06-28 13:59:47.363678
9537,pocket wish,49420,12,2020-06-28 14:03:53.978420
8739,perfect dark and stormy,120,1,2020-06-28 14:12:02.595112
1593,cold hi mein,288,1,2020-06-28 14:12:04.747703
10259,grain of sand,100,22,2020-06-28 14:12:11.505150
824,effervescent potion,490,15,2020-06-28 14:12:22.194421
9036,hacked gibson,3900,3,2020-06-28 14:12:23.133329
9187,cashew,2450,25,2020-06-28 14:12:33.090797
9036,hacked gibson,3900,18,2020-06-28 14:13:54.070433
9187,cashew,2500,78,2020-06-28 14:14:03.932392
9537,pocket wish,49900,68,2020-06-28 14:14:29.372376
9537,pocket wish,49500,3,2020-06-28 14:28:53.739800
595,scroll of drastic healing,269,1,2020-06-28 15:57:08.134166
2708,funky dried mushroom,1200,6,2020-06-28 15:57:12.224901
706,porquoise,24750,3,2020-06-28 15:57:15.170399
7372,pie man was not meant to eat,1200,1,2020-06-28 15:57:16.676655
333,lime,250,4,2020-06-28 15:57:23.991082
706,porquoise,24000,3,2020-06-28 16:12:14.940117
10259,grain of sand,100,33,2020-06-28 16:13:31.448219
3440,prismatic wad,10500,34,2020-06-28 16:13:34.312544
3575,sand dollar,200,1,2020-06-28 16:18:21.369344
304,dry noodles,200,25,2020-06-28 16:21:52.440881
8204,one-day ticket to Dinseylandfill,99000,1,2020-06-28 16:24:01.156551
333,lime,200,8,2020-06-28 16:24:22.627022
7372,pie man was not meant to eat,1500,2,2020-06-28 16:51:51.423575
2597,leathery bat skin,729,43,2020-06-28 17:09:11.843230
9537,pocket wish,49900,24,2020-06-28 17:12:22.334636
595,scroll of drastic healing,500,1,2020-06-28 17:17:24.489889
2597,leathery bat skin,729,51,2020-06-28 17:24:41.691120
8763,BACON,200,100,2020-06-28 17:27:09.896806
1455,sleaze wad,680,371,2020-06-28 17:51:39.486364
8486,one-day ticket to That 70s Volcano,100,1,2020-06-28 18:00:43.754754
3575,sand dollar,200,100,2020-06-28 18:02:04.226617
9537,pocket wish,49800,3,2020-06-28 18:07:24.843947
8204,one-day ticket to Dinseylandfill,123,1,2020-06-28 18:08:15.192336
3325,jar of fermented pickle juice,40000,2,2020-06-28 18:18:15.224363
6364,pulled blue taffy,500,8,2020-06-28 18:29:02.369163
4394,Crimbo fudge,700,5,2020-06-28 18:29:06.519352
9537,pocket wish,49750,3,2020-06-28 18:29:07.423034
4463,chocolate turtle totem,4100,4,2020-06-28 18:29:10.977318
7065,grim fairy tale,8200,1,2020-06-28 18:29:13.985186
4508,&quot;DRINK ME&quot; potion,125,2,2020-06-28 18:32:01.246568
9036,hacked gibson,3899,1,2020-06-28 18:48:16.436062
304,dry noodles,100,109,2020-06-28 19:00:35.316205
