item_id,name,price,quantity,meat,datetime,userName,userid
9537,pocket wish,49997,3,149991,2021-02-04 18:01:26,Gausie,1197090
8675,one-day ticket to The Glaciest,197974,1,197974,2021-02-04 18:06:55,Naus,3359874
9537,pocket wish,49997,3,149991,2021-02-04 18:31:29,Gausie,1197090
4467,chocolate stolen accordion,3849,3,11547,2021-02-04 19:05:27,FXfghbg,1948805
8994,Sacramento wine,3694,5,18470,2021-02-04 19:05:37,FXfghbg,1948805
4622,Game Grid ticket,941,24,22584,2021-02-04 19:09:19,TheL0ser,1178050
4622,Game Grid ticket,941,30,28230,2021-02-04 19:22:14,iago401,3348524
4622,Game Grid ticket,941,30,28230,2021-02-04 19:22:44,Slaughter Priest,1394257
8994,Sacramento wine,3694,1,3694,2021-02-04 19:25:15,RICKErscotT,99232
4622,Game Grid ticket,941,30,28230,2021-02-04 19:31:24,Bloodpurge,1405129
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 19:31:48,Daemonson,2283243
4463,chocolate turtle totem,2418,1,2418,2021-02-04 19:31:49,Bloodpurge,1405129
4463,chocolate turtle totem,2418,1,2418,2021-02-04 19:31:56,Bloodpurge,1405129
4622,Game Grid ticket,941,30,28230,2021-02-04 20:17:53,iago401,3348524
4622,Game Grid ticket,941,20,18820,2021-02-04 20:20:14,iago401,3348524
4622,Game Grid ticket,941,8,7528,2021-02-04 20:26:11,iago401,3348524
5227,bucket of wine,4995,5,24975,2021-02-04 20:39:10,poiioppoiiop,707591
8994,Sacramento wine,3694,1,3694,2021-02-04 21:07:45,Thoth19,2482247
8994,Sacramento wine,3694,9,33246,2021-02-04 21:12:56,KingLoath,1632125
4463,chocolate turtle totem,2418,1,2418,2021-02-04 21:33:19,Blister75,1868518
5227,bucket of wine,4995,1,4995,2021-02-04 22:12:39,MilkmanSoak,2416491
4463,chocolate turtle totem,2418,3,7254,2021-02-04 22:22:04,Quagsire,2576258
5227,bucket of wine,4995,3,14985,2021-02-04 22:26:50,BC_Goldman,887028
4463,chocolate turtle totem,2418,1,2418,2021-02-04 22:49:42,Michael303,1382534
4463,chocolate turtle totem,2418,1,2418,2021-02-04 23:03:24,shummie,1855602
1006,cherry,2089,4,8356,2021-02-04 23:04:13,ThunderGate,294980
4467,chocolate stolen accordion,3849,2,7698,2021-02-04 23:06:06,IMAMULTI,3186943
3575,sand dollar,199,17,3383,2021-02-04 23:17:25,Bed Tundy,3285104
8740,perfect mimosa,3748,8,29984,2021-02-04 23:20:23,DeathofPasta,2089015
8686,perfect ice cube,3599,1,3599,2021-02-04 23:25:42,bobdapunk,3066402
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:32:03,Nikmalev,1850416
4463,chocolate turtle totem,2418,1,2418,2021-02-04 23:37:08,Sir Loin Chop,1185259
4463,chocolate turtle totem,2418,1,2418,2021-02-04 23:37:16,Sir Loin Chop,1185259
4463,chocolate turtle totem,2418,1,2418,2021-02-04 23:37:24,Sir Loin Chop,1185259
9537,pocket wish,49995,1,49995,2021-02-04 23:48:00,Lmao BOOMER,3418219
9537,pocket wish,49995,3,149985,2021-02-04 23:48:24,Pastaman Pastalator,3461861
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:49:50,omnidirectional badger,716737
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:49:58,omnidirectional badger,716737
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:54:11,fxer,1661854
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:54:12,fxer,1661854
4467,chocolate stolen accordion,3849,1,3849,2021-02-04 23:54:14,fxer,1661854
4467,chocolate stolen accordion,3849,3,11547,2021-02-05 00:11:03,FXfghbg,1948805
4463,chocolate turtle totem,2418,1,2418,2021-02-05 00:29:24,chezeham,3038063
4463,chocolate turtle totem,2418,1,2418,2021-02-05 00:29:34,chezeham,3038063
4463,chocolate turtle totem,2418,1,2418,2021-02-05 00:29:46,chezeham,3038063
4463,chocolate turtle totem,2418,1,2418,2021-02-05 00:49:44,XWiz,1057104
4463,chocolate turtle totem,2418,1,2418,2021-02-05 01:04:21,WithoutPants,1234874
4463,chocolate turtle totem,2418,1,2418,2021-02-05 01:07:51,THEPASTAMANe,3097827
4463,chocolate turtle totem,2418,1,2418,2021-02-05 01:08:01,THEPASTAMANe,3097827
4467,chocolate stolen accordion,3849,1,3849,2021-02-05 02:23:01,Morgoth1145,1890100
4467,chocolate stolen accordion,3849,1,3849,2021-02-05 02:23:02,Morgoth1145,1890100
4467,chocolate stolen accordion,3849,1,3849,2021-02-05 02:24:48,CathyOak,542103
4467,chocolate stolen accordion,3849,1,3849,2021-02-05 02:24:58,CathyOak,542103
4463,chocolate turtle totem,2418,3,7254,2021-02-05 02:37:07,Phillammon,2393910
4463,chocolate turtle totem,2418,3,7254,2021-02-05 02:40:41,Banana4,1815088
8675,one-day ticket to The Glaciest,197974,7,1385818,2021-02-05 02:41:01,sOup OF can,1421613
4463,chocolate turtle totem,2418,3,7254,2021-02-05 02:44:07,Pyacide,3205157
4463,chocolate turtle totem,2418,1,2418,2021-02-05 03:07:20,Adoraya,1895240
9943,Neverending Party guest pass,137949,4,551796,2021-02-05 03:50:29,Greeny29,3314085
4467,chocolate stolen accordion,3847,1,3847,2021-02-05 04:42:41,Lollygot,3347163
4463,chocolate turtle totem,2418,1,2418,2021-02-05 05:06:57,Bruja Hermosa,1251995
9924,Special Seasoning,1986,12,23832,2021-02-05 05:17:24,Mr stuffy,15918
9924,Special Seasoning,1986,12,23832,2021-02-05 05:17:25,ForKrunkyandJadra,306700
4463,chocolate turtle totem,2418,1,2418,2021-02-05 05:19:46,ForKrunkyandJadra,306700
4463,chocolate turtle totem,2418,1,2418,2021-02-05 05:19:55,ForKrunkyandJadra,306700
4463,chocolate turtle totem,2418,1,2418,2021-02-05 05:20:03,Mr stuffy,15918
