item_id,name,price,quantity,meat,datetime,userName,userid
9386,elemental caipiroska,823,11,9053,2021-01-23 12:17:59,MaoZedong,1924237
9386,elemental caipiroska,823,14,11522,2021-01-23 12:24:53,Tiny_Plastic_Pazzoli,2191503
8763,BACON,185,100,18500,2021-01-23 12:39:25,Aeresx,2388087
4622,Game Grid ticket,849,50,42450,2021-01-23 12:44:22,Lancey,2823505
3440,prismatic wad,9887,1,9887,2021-01-23 12:54:18,G flux,2847664
9386,elemental caipiroska,823,1,823,2021-01-23 13:01:48,MaoZedong,1924237
4622,Game Grid ticket,849,10,8490,2021-01-23 13:09:23,DoubleGold,1255832
9386,elemental caipiroska,823,17,13991,2021-01-23 13:18:18,JoesSoftCore,1933331
9386,elemental caipiroska,823,15,12345,2021-01-23 13:35:25,Gravyticus,2015301
9386,elemental caipiroska,823,16,13168,2021-01-23 13:37:53,Cannibalistic Rabbi,1679555
9386,elemental caipiroska,823,1,823,2021-01-23 13:42:21,ratbert,848451
4622,Game Grid ticket,849,10,8490,2021-01-23 13:47:24,Whalethief,3012689
3440,prismatic wad,9887,1,9887,2021-01-23 14:03:34,Retry2000,3371190
9386,elemental caipiroska,823,158,130034,2021-01-23 14:05:30,Manendra,1483803
3440,prismatic wad,9887,1,9887,2021-01-23 14:18:09,Ezandora,1557284
4622,Game Grid ticket,849,29,24621,2021-01-23 14:55:12,Crumbling Buttercookie,2194276
4622,Game Grid ticket,849,29,24621,2021-01-23 14:55:51,TheL0ser,1178050
3575,sand dollar,184,100,18400,2021-01-23 15:16:49,Kaass,1669747
4622,Game Grid ticket,849,9,7641,2021-01-23 15:20:11,Skyshroud,332389
3440,prismatic wad,9884,1,9884,2021-01-23 15:20:18,Skyshroud,332389
3575,sand dollar,184,1,184,2021-01-23 15:23:10,Kaass,1669747
3575,sand dollar,184,100,18400,2021-01-23 15:23:25,Kaass,1669747
3575,sand dollar,184,46,8464,2021-01-23 15:29:12,Kaass,1669747
8763,BACON,185,1,185,2021-01-23 15:40:10,Adonisrules,3332191
8423,unsmoothed velvet,2699,9,24291,2021-01-23 15:47:02,fknslacker,3058402
3440,prismatic wad,9879,1,9879,2021-01-23 16:28:35,Bahke,1216511
3440,prismatic wad,9879,2,19758,2021-01-23 16:32:00,Counterclockwise,3139266
3440,prismatic wad,9879,1,9879,2021-01-23 16:41:43,tekkers,2379536
3440,prismatic wad,9879,8,79032,2021-01-23 16:46:44,soxfan196o,457261
8423,unsmoothed velvet,2699,9,24291,2021-01-23 16:47:28,ALAVG,2203016
346,scrumptious reagent,1024,400,409600,2021-01-23 17:10:06,someoddboy,3453556
3440,prismatic wad,9874,1,9874,2021-01-23 17:33:10,Phillanthropist,3460119
3440,prismatic wad,9874,2,19748,2021-01-23 17:54:45,Juliiw,1856960
3440,prismatic wad,9874,6,59244,2021-01-23 20:33:55,halfpenny,1361698
9537,pocket wish,49997,1,49997,2021-01-23 21:16:20,Gausie,1197090
8423,unsmoothed velvet,2699,9,24291,2021-01-23 21:38:00,theBananagod,1523152
9537,pocket wish,49997,3,149991,2021-01-23 22:16:27,Gausie,1197090
4622,Game Grid ticket,849,1,849,2021-01-23 22:44:06,McDutchy,503830
304,dry noodles,338,250,84500,2021-01-23 22:55:57,Batwood17,499254
9537,pocket wish,49997,2,99994,2021-01-23 23:31:22,Gausie,1197090
8423,unsmoothed velvet,2699,9,24291,2021-01-23 23:56:51,chefcch9,3454384
8423,unsmoothed velvet,2699,9,24291,2021-01-24 00:01:30,nok7425,2435759
8423,unsmoothed velvet,2699,9,24291,2021-01-24 01:01:29,Malibu Stacey,2705901
8763,BACON,197,85,16745,2021-01-24 01:03:13,Saklad5,3175321
8763,BACON,197,20,3940,2021-01-24 01:03:15,Saklad5,3175321
8763,BACON,197,2,394,2021-01-24 01:03:16,Saklad5,3175321
4466,chocolate disco ball,4199,2,8398,2021-01-24 01:11:46,Tempotemp,3336682
